TOLIMA;CHAPARRAL;LAS HERMOSAS (SANTA BARBARA);INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;LAS HERMOSAS (LA VIRGINIA);INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;LAS HERMOSAS(SAN JOSE DE LAS;INSTITUCION EDUCATIVA
TOLIMA;CHAPARRAL;LA MARINA;INSTITUCION EDUCATIVA
TOLIMA;DOLORES;PUESTO CABECERA MUNICIPAL;CRA 9 N 6-48 
TOLIMA;DOLORES;AMBICA;INSTITUCION EDUCATIVA
TOLIMA;DOLORES;BERMEJO;INSTITUCION EDUCATIVA
TOLIMA;DOLORES;LA SOLEDAD;INSTITUCION EDUCATIVA
TOLIMA;DOLORES;RIONEGRO;INSTITUCION EDUCATIVA
TOLIMA;DOLORES;SAN ANDRES;INSTITUCION EDUCATIVA
TOLIMA;DOLORES;SAN JOSE;INSTITUCION EDUCATIVA
TOLIMA;ESPINAL;INST EDUC. MARIANO SANCHEZ;CRA 13 N 7-15
TOLIMA;ESPINAL;INST.EDUC.SAN ISIDORO;CLL 12 N 6-30
TOLIMA;ESPINAL;CASA DE LA CULTURA;CRA 6 CLL 2 Y 3
TOLIMA;ESPINAL;INST.EDUC. MANUEL A. BONILLA;CLL 8 CRA 6 ESQ
TOLIMA;ESPINAL;COLEGIO SANTA MARGARITA MARIA;CRA 8 N 17-25
TOLIMA;ESPINAL;INST. EDUC .RAFAEL URIBE URIB;BALKANES
TOLIMA;ESPINAL;INST.EDUC. RONDON;CLL 18 N 2-43
TOLIMA;ESPINAL;COL.NUESTRA SEÑORA DEL ROSARI;CRA 7 CALLES 12 Y 13
TOLIMA;ESPINAL;CARCEL DEL CIRCUITO;CALLE 6 CARRERA 12 ESQUINNA
TOLIMA;ESPINAL;CHICORAL;I. E. ANTONIO MARIA CARO
TOLIMA;ESPINAL;PATIO BONITO;I.E. PATIO BONITO
TOLIMA;ESPINAL;LAS DELICIAS;I.E. LAS DELICIAS
TOLIMA;ESPINAL;LA CAIMANERA;I.E. LA CAIMANERA
TOLIMA;ESPINAL;DINDALITO;I.E. DINDALITO
TOLIMA;ESPINAL;PASO ANCHO;I.E PASO ANCHO
TOLIMA;FALAN;PUESTO CABECERA MUNICIPAL;CASA DE LA CULTURA CLL PRINCIPAL
TOLIMA;FALAN;INSP. FRIAS;PLAZA DE MERCADO 
TOLIMA;FLANDES;PUESTO CABECERA MUNICIPAL;INST.JORGE ELIECER GAITAN 
TOLIMA;FLANDES;EL COLEGIO;RURAL
TOLIMA;FRESNO;LICEO MARIA AUXILIADORA;INST. MARIA AUXILIADORA CLL 3 N 7-18
TOLIMA;FRESNO;ESC. CENTRO;CRA 8 N 5-12
TOLIMA;FRESNO;PUESTO DE CENSO;INST. SAN JOSE
TOLIMA;FRESNO;CARCEL;No disponible
TOLIMA;FRESNO;BETANIA;RURAL
TOLIMA;FRESNO;EL GUAYABO;RURAL
TOLIMA;FRESNO;EL TABLAZO;RURAL
TOLIMA;FRESNO;PAVAS (LOS GUAYABOS);RURAL
TOLIMA;FRESNO;LA AGUADITA;RURAL
TOLIMA;FRESNO;LA DIVISA;RURAL
TOLIMA;FRESNO;CAMPEON;RURAL
TOLIMA;FRESNO;BRISAS DEL GUALI;RURAL
TOLIMA;FRESNO;AGUAS CLARAS;RURAL
TOLIMA;FRESNO;PIEDRA GRANDE;RURAL
TOLIMA;FRESNO;LAS MARIAS;RURAL
TOLIMA;GUAMO;COLEGIO CALDAS;CRA 10 N 7-10 CENTRO 
TOLIMA;GUAMO;ESCUELA EL CARMEN;CLL 3 N 2-92 EL CARMEN 
TOLIMA;GUAMO;COLEGIO INDUSTRIAL;CLL 10 N 8-48 CENTRO 
TOLIMA;GUAMO;COL. SOR JOSEFA DEL CASTILLO;CRA 2 CLL 9 ESQ EL LIBERTADOR
TOLIMA;GUAMO;CARCEL DEL CIRCUITO;CENTRO
TOLIMA;GUAMO;CERROGORDO;INSTITUCION EDUCATIVA
TOLIMA;GUAMO;EL JARDIN;INSTITUCION EDUCATIVA
TOLIMA;GUAMO;LA CHAMBA;INSTITUCION EDUCATIVA
TOLIMA;GUAMO;LAS MERCEDES;INSTITUCION EDUCATIVA
TOLIMA;GUAMO;RINCON SANTO;INSTITUCION EDUCATIVA
TOLIMA;HERVEO;PUESTO CABECERA MUNICIPAL;INST.SANTA LUISA
TOLIMA;HERVEO;BRASIL;RURAL
TOLIMA;HERVEO;ARENILLO;RURAL
TOLIMA;HERVEO;LA PICOTA;RURAL
TOLIMA;HERVEO;LETRAS;RURAL
TOLIMA;HERVEO;MESONES;RURAL
TOLIMA;HERVEO;PADUA;RURAL
TOLIMA;HONDA;COLEGIO GENERAL SANTANDER;CLL 9 N 20-173
TOLIMA;HONDA;COLEGIO NACIONAL  INTEGRADO;CRA 31 N 12-124
TOLIMA;HONDA;COLEGIO BARRIO LA SONRISA;TRANSV 19 N 23-33
TOLIMA;HONDA;COL. ANTONIO HERRAN ZALDUA;CRA 2 CLL 34 ESQ 
TOLIMA;HONDA;COLEGIO DEL ALTO ROSARIO;COLEGIO DEL ALTO ROSARIO
TOLIMA;HONDA;CARCEL;CARCEL
TOLIMA;ICONONZO;PUESTO CABECERA MUNICIPAL;CRA 6 N 5-48
TOLIMA;ICONONZO;BALCONCITOS;RURAL
TOLIMA;ICONONZO;BOQUERON;RURAL
TOLIMA;ICONONZO;NUEVO MUNDO;RURAL
TOLIMA;ICONONZO;PATICUINDE;RURAL
TOLIMA;ICONONZO;YOPAL;RURAL
TOLIMA;LERIDA;PUESTO CABECERA MUNICIPAL;INST.ARTURO MEJIA JARAMILLO
TOLIMA;LERIDA;DELICIAS;INSTITUCION EDUCATIVA 
TOLIMA;LERIDA;IGUASITO;INSTITUCION EDUCATIVA 
TOLIMA;LERIDA;LA SIERRA;INSTITUCION EDUCATIVA 
TOLIMA;LERIDA;PADILLA;INSTITUCION EDUCATIVA 
TOLIMA;LIBANO;COLEGIO NTRA SRA DEL CARMEN;CLL 2 CRA 4 ESQ
TOLIMA;LIBANO;COLEGIO COMERCIAL;CRA 9 N 4-85
TOLIMA;LIBANO;ESC. HERACLIO LASTRA;CLL 4 A CRA 1 ESQ
TOLIMA;LIBANO;ESCUELA BLANCA SAENZ;CLL 9 N 9-50
TOLIMA;LIBANO;COLEGIO NOCTURNO ALICIA VELEZ;CRA 11No 5-63
TOLIMA;LIBANO;CARCEL;No disponible
TOLIMA;LIBANO;EL CONVENIO;RURAL
TOLIMA;LIBANO;TIERRADENTRO;RURAL
TOLIMA;LIBANO;SANTA TERESA;RURAL
TOLIMA;LIBANO;SAN FERNANDO;RURAL
